scan,ID_sample,T,ch2,I_ch2,initial_I,E,theta,fresh,ramp,test,att
#
# d @ AIR : 3-> (1.11234e-6, 195.460266), (1.127e-6, 195.821612) ; 7 -> (1.1084e-6, 193.818422), (1.1426e-6, 199.559981)
#
######################
####### GeO2_6 #######
######################
# GeO2_6 @ Troom (30C), alignement and first measurements
GeO2_6_0001_0009, 6, 30, 7.1e-9,,, 9.7, 0.190,,heating,,
GeO2_6_0001_0011, 6, 30, 100,,, 9.7, 0.190,True,heating,True,
GeO2_6_0001_0012, 6, 30, 6.6e-9,,, 9.7, 0.190,,heating,,
# GeO2_6 T dependence
GeO2_6_100C_0001_0003, 6, 100, 6.67e-6,,, 9.7, 0.190,,heating,,
GeO2_6_170C_0001_0001, 6, 170, 0,,, 9.7, 0.190,,heating,,
GeO2_6_240C_0001_0003, 6, 240, 0,,, 9.7, 0.190,,heating,,
GeO2_6_310C_0001_0003, 6, 310, 6.67e-6,,, 9.7, 0.190,,heating,,
GeO2_6_380C_0001_0001, 6, 380, 100,,, 9.7, 0.190,,heating,,
GeO2_6_450C_0001_0003, 6, 450, 100,,, 9.7, 0.190,,heating,,
GeO2_6_520C_0001_0001, 6, 520, 100,,, 9.7, 0.190,,heating,,
GeO2_6_590C_0001_0003, 6, 590, 100,,, 9.7, 0.190,,heating,,
GeO2_6_660C_0001_0001, 6, 660, 6.81e-6,,, 9.7, 0.190,,heating,,
GeO2_6_730C_0001_0003, 6, 730, 100,,, 9.7, 0.190,,heating,,
GeO2_6_660C_0002_0003, 6, 660, 100,,, 9.7, 0.190,,cooling,,
GeO2_6_590C_0002_0003, 6, 590, 100,,, 9.7, 0.190,,cooling,,
# GeO2_6 Q dependence @ room T (30C)
GeO2_6q_delcoup_1_0001_0002, 6, 30, 100,,, 9.7, 0.13,,,,
GeO2_6q_delcoup_3_0001_0002, 6, 30, 100,,, 9.7, 0.29,,,,
GeO2_6q_delcoup_5_0001_0002, 6, 30, 100,,, 9.7, 0.46,,,,
######################
####### GeO2_7 #######
######################
# GeO2_7 T dependence
GeO2_7_30C_0003_0003,  7, 30, 0,,, 9.7, 0.19,True,heating,,
GeO2_7_100C_0001_0003, 7, 100, 4.2e-6,,, 9.7, 0.19,,heating,,
GeO2_7_170C_0001_0003, 7, 170, 0,,, 9.7, 0.19,,heating,,
GeO2_7_240C_0001_0003, 7, 240, 0,,, 9.7, 0.19,,heating,,
GeO2_7_310C_0001_0003, 7, 310, 0,,, 9.7, 0.19,,heating,,
GeO2_7_345C_0001_0003, 7, 345, 0,,, 9.7, 0.19,,heating,,
GeO2_7_380C_0001_0003, 7, 380, 0,,, 9.7, 0.19,,heating,,
GeO2_7_415C_0001_0003, 7, 415, 0,,, 9.7, 0.19,,heating,,
GeO2_7_450C_0001_0003, 7, 450, 0,,, 9.7, 0.19,,heating,,
GeO2_7_485C_0001_0003, 7, 485, 0,,, 9.7, 0.19,,heating,,
#GeO2_7_520C_0001_0004
GeO2_7_520C_0001_0005, 7, 520, 0,,, 9.7, 0.19,True,heating,,
