,Q,I_damage,ID_sample,T,ch2,I_ch2,initial_I,E,theta,fresh,ramp,test,att
GeO2_3_100C_0001_0004,0.21,0.2002469970827227,3.0,100.0,4.885e-06,197.173735,196.114965,9.7,0.19,,heating,,
GeO2_3_170C_0001_0004,0.21,0.19587103209829204,3.0,170.0,4.903e-06,198.995318,197.917245,9.7,0.19,,heating,,
GeO2_3_240C_0001_0004,0.21,0.18981665521289565,3.0,240.0,4.757e-06,193.439023,200.093556,9.7,0.19,,heating,,
GeO2_3_30C_0001_0004,0.21,0.2102645845296131,3.0,30.0,4.845e-06,195.300849,194.266996,9.7,0.19,,heating,,
GeO2_3_310C_0001_0004,0.21,0.18237533823298388,3.0,310.0,4.826e-06,195.480861,194.443101,9.7,0.19,,heating,,
GeO2_3_380C_0001_0004,0.21,0.17385679441904328,3.0,380.0,4.817e-06,196.590422,195.539853,9.7,0.19,,heating,,
GeO2_3_415C_0001_0004,0.21,0.17113270694282806,3.0,415.0,4.778e-06,194.840859,193.796389,9.7,0.19,,heating,,
GeO2_3_450C_0001_0004,0.21,0.16601843418295742,3.0,450.0,4.742e-06,193.365114,199.569091,9.7,0.19,,heating,,
GeO2_3_485C_0001_0004,0.21,0.16373764660969392,3.0,485.0,4.899e-06,198.758586,197.669256,9.7,0.19,,heating,,
GeO2_3_520C_0001_0004,0.21,0.16181294773190927,3.0,520.0,4.881e-06,197.028841,195.959736,9.7,0.19,,heating,,
GeO2_3_555C_0001_0004,0.21,0.16063579595538582,3.0,555.0,4.84e-06,195.697487,194.653733,9.7,0.19,,heating,,
GeO2_3_590C_0001_0004,0.21,0.15912615846978653,3.0,590.0,4.746e-06,194.262304,193.235308,9.7,0.19,,heating,,
GeO2_3_625C_0001_0004,0.21,0.1569637053833536,3.0,625.0,4.837e-06,200.129275,199.14128,9.7,0.19,,heating,,
GeO2_3_660C_0001_0004,0.21,0.15521554972165533,3.0,660.0,4.6762e-06,197.513465,196.756039,9.7,0.19,,heating,,
GeO2_3_660C_0001_0005,0.21,0.16083823455942378,3.0,660.0,4.7005e-06,197.513465,198.871736,9.7,0.19,,heating,,
GeO2_3_660C_0001_0006,0.21,0.16552153956425175,3.0,660.0,4.7412e-06,197.513465,193.55903,9.7,0.19,,heating,,
GeO2_3_660C_0001_0007,0.21,0.16524390303611206,3.0,660.0,4.7601e-06,197.513465,195.467096,9.7,0.19,,heating,,
"GeO2_3_660C_0001_range(4, 8)",0.21,0.16171409009451024,3.0,660.0,,,,9.7,0.19,,heating,,
GeO2_3_695C_0001_0004,0.21,0.15734439468871908,3.0,695.0,4.6134e-06,195.18643,194.443554,9.7,0.19,,heating,,
GeO2_3_695C_0001_0005,0.21,0.16395789207062672,3.0,695.0,4.6807e-06,195.18643,196.59944,9.7,0.19,,heating,,
GeO2_3_695C_0001_0006,0.21,0.159717623246737,3.0,695.0,4.7123e-06,195.18643,198.531289,9.7,0.19,,heating,,
GeO2_3_695C_0001_0007,0.21,0.16453932025609097,3.0,695.0,4.7261e-06,195.18643,193.222211,9.7,0.19,,heating,,
"GeO2_3_695C_0001_range(4, 8)",0.21,0.16140683810904832,3.0,,,,,9.7,0.19,,heating,,
GeO2_3_730C_0001_0004,0.21,0.15804695733743718,3.0,730.0,4.8671e-06,199.65727,199.65727,9.7,0.19,,heating,,
GeO2_3_730C_0001_0004,0.21,0.15804695733743718,3.0,730.0,0.0,,,9.7,0.19,,,,
GeO2_3_730C_0001_0005,0.21,0.1638944283182274,3.0,730.0,4.9156e-06,199.65727,195.614402,9.7,0.19,,heating,,
GeO2_3_730C_0001_0006,0.21,0.15944234517598263,3.0,730.0,4.9519e-06,199.65727,198.736115,9.7,0.19,,heating,,
GeO2_3_730C_0001_0007,0.21,0.1626026001363836,3.0,730.0,4.9362e-06,199.65727,194.734427,9.7,0.19,,heating,,
GeO2_3_730C_0001_0008,0.21,0.1575195471653035,3.0,730.0,4.8037e-06,193.141782,198.095944,9.7,0.19,,heating,,
"GeO2_3_730C_0001_range(4, 8)",0.21,0.1609698812795556,3.0,730.0,,,,9.7,0.19,,heating,,
GeO2_3_730C_Q_0001_0004,0.145,0.16182697207843919,3.0,730.0,0.0,,,9.7,0.13,,,,
GeO2_3_730C_Q_0001_0005,0.3,0.16500646063525087,3.0,730.0,0.0,,,9.7,0.29,,,,
GeO2_3_730C_Q_0001_0006,0.38,0.3447447349029245,,,,,,,,,,,
GeO2_3_730C_Q_0001_0007,0.455,0.3658885851899795,,,,,,,,,,,
GeO2_3_730C_att2_0001_0004,0.21,0.08147558296140699,,,,,,,,,,,
GeO2_3_730C_att2_0001_0005,0.21,0.08234965048028857,,,,,,,,,,,
GeO2_3_730C_att2_0001_0006,0.21,0.0818083483682865,,,,,,,,,,,
GeO2_3_730C_att2_0001_0007,0.21,0.08375244585241048,,,,,,,,,,,
"GeO2_3_730C_att2_0001_range(4, 8)",0.21,0.08236074061548358,3.0,730.0,100.0,,,9.7,0.19,,,,0.5
GeO2_3_alligment_0001_0006,0.21,0.21921353125894186,,,,,,,,,,,
GeO2_4_10p25_0001_0014,0.19,0.24651903671979175,,,,,,,,,,,
GeO2_4_10p25_0001_0015,0.19,0.23415076925355974,,,,,,,,,,,
GeO2_4_10p25_0001_0016,0.19,0.23794974226211085,,,,,,,,,,,
GeO2_4_10p25_0001_0017,0.19,0.2296884251949378,,,,,,,,,,,
GeO2_4_30C_0002_0004,0.19,0.23285945176995135,,,,,,,,,,,
GeO2_4_30C_0002_0005,0.19,0.12671445310286847,,,,,,,,,,,
GeO2_4_8p67_0001_0006,0.19,0.16746596771816222,,,,,,,,,,,
GeO2_4_8p67_0001_0007,0.19,0.16140112762283498,,,,,,,,,,,
GeO2_4_8p67_0001_0008,0.19,0.1642494694820731,,,,,,,,,,,
GeO2_6_0001_0009,0.21,0.1984498205376593,6.0,30.0,7.1e-09,,,9.7,0.19,,heating,,
GeO2_6_0001_0011,0.21,0.2106793404534544,6.0,30.0,100.0,,,9.7,0.19,True,heating,True,
GeO2_6_0001_0012,0.21,0.2170791307751682,6.0,30.0,6.6e-09,,,9.7,0.19,,heating,,
GeO2_6_100C_0001_0003,0.21,0.20920759838163375,6.0,100.0,6.67e-06,,,9.7,0.19,,heating,,
GeO2_6_170C_0001_0001,0.21,0.20591200754513864,6.0,170.0,0.0,,,9.7,0.19,,heating,,
GeO2_6_240C_0001_0003,0.21,0.19816585341527995,6.0,240.0,0.0,,,9.7,0.19,,heating,,
GeO2_6_310C_0001_0003,0.21,0.19206432573464186,6.0,310.0,6.67e-06,,,9.7,0.19,,heating,,
GeO2_6_380C_0001_0001,0.21,0.18651957211123973,6.0,380.0,100.0,,,9.7,0.19,,heating,,
GeO2_6_450C_0001_0003,0.21,0.17451311586174628,6.0,450.0,100.0,,,9.7,0.19,,heating,,
GeO2_6_520C_0001_0001,0.21,0.16694100141983548,6.0,520.0,100.0,,,9.7,0.19,,heating,,
GeO2_6_590C_0001_0003,0.21,0.16614968348194514,6.0,590.0,100.0,,,9.7,0.19,,heating,,
GeO2_6_590C_0002_0003,0.21,0.1553203467769442,6.0,590.0,100.0,,,9.7,0.19,,cooling,,
GeO2_6_660C_0001_0001,0.21,0.16045167115380582,6.0,660.0,6.81e-06,,,9.7,0.19,,heating,,
GeO2_6_660C_0002_0003,0.21,0.15632808869809187,6.0,660.0,100.0,,,9.7,0.19,,cooling,,
GeO2_6_730C_0001_0003,0.21,0.15706183711367008,6.0,730.0,100.0,,,9.7,0.19,,heating,,
GeO2_6q_delcoup_1_0001_0002,0.145,0.17291485191067887,6.0,30.0,100.0,,,9.7,0.13,,,,
GeO2_6q_delcoup_3_0001_0002,0.3,0.1921872108325687,6.0,30.0,100.0,,,9.7,0.29,,,,
GeO2_6q_delcoup_5_0001_0002,0.455,0.4268735305763738,6.0,30.0,100.0,,,9.7,0.46,,,,
GeO2_7_100C_0001_0003,0.21,0.21917204778895596,7.0,100.0,4.2e-06,,,9.7,0.19,,heating,,
GeO2_7_170C_0001_0003,0.21,0.20601394946557514,7.0,170.0,0.0,,,9.7,0.19,,heating,,
GeO2_7_240C_0001_0003,0.21,0.19961524694201363,7.0,240.0,0.0,,,9.7,0.19,,heating,,
GeO2_7_300C_0001_0004,0.21,0.1839471038045177,7.0,300.0,0.0,,,9.7,0.19,,cooling,,
GeO2_7_30C_0003_0003,0.21,0.22602722173424672,7.0,30.0,0.0,,,9.7,0.19,True,heating,,
GeO2_7_30C_0004_0004,0.21,0.20331317846702598,7.0,30.0,0.0,,,9.7,0.19,,cooling,,
GeO2_7_310C_0001_0003,0.21,0.1952102487979903,7.0,310.0,0.0,,,9.7,0.19,,heating,,
GeO2_7_345C_0001_0003,0.21,0.19179899430777758,7.0,345.0,0.0,,,9.7,0.19,,heating,,
GeO2_7_380C_0001_0003,0.21,0.18741279890889875,7.0,380.0,0.0,,,9.7,0.19,,heating,,
GeO2_7_415C_0001_0003,0.21,0.18421154180081697,7.0,415.0,0.0,,,9.7,0.19,,heating,,
GeO2_7_450C_0001_0003,0.21,0.17915077825694034,7.0,450.0,0.0,,,9.7,0.19,,heating,,
GeO2_7_485C_0001_0003,0.21,0.17429561999416807,7.0,485.0,0.0,,,9.7,0.19,,heating,,
GeO2_7_520C_0001_0005,0.21,0.17648647180586255,7.0,520.0,0.0,,,9.7,0.19,True,heating,,
GeO2_7_520C_0002_0004,0.21,0.16527449301423885,7.0,520.0,4.1e-06,,,9.7,0.19,,cooling,,
GeO2_7_555C_0001_0004,0.21,0.16642185788423206,7.0,555.0,0.0,,,9.7,0.19,True,heating,,
GeO2_7_590C_0001_0004,0.21,0.16530731345254168,7.0,590.0,0.0,,,9.7,0.19,,heating,,
GeO2_7_625C_0001_0004,0.21,0.1697770808998095,7.0,625.0,0.0,,,9.7,0.19,,heating,,
GeO2_7_660C_0001_0004,0.21,0.16941207801644806,7.0,660.0,0.0,,,9.7,0.19,,heating,,
GeO2_7_660C_0001_0007,0.21,0.17780998995234917,7.0,660.0,0.0,,,9.7,0.19,True,heating,,
GeO2_7_660C_0001_0009,0.21,0.16494714080158715,7.0,660.0,0.0,,,9.7,0.19,True,heating,,
GeO2_7_660C_0001_0012,0.21,0.17081151648376686,7.0,660.0,0.0,,,9.7,0.19,True,heating,,
GeO2_7_660C_0002_0004,0.21,0.1692489281131762,7.0,660.0,0.0,,,9.7,0.19,,cooling,,
GeO2_7_695C_0001_0004,0.21,0.16693395569474337,7.0,695.0,0.0,,,9.7,0.19,,heating,,
GeO2_7_730C_0001_0004,0.21,0.15992741246478304,7.0,730.0,4.36e-06,,,9.7,0.19,True,heating,,
