scan,Q,dQ,tau,dtau,dtau%,beta,dbeta,dbeta%,c,dc,dc%,y0,dy0,dy%,redchi2,ID_sample,T,ch2,I_ch2,initial_I,E,theta,fresh,ramp,test,att
GeO2_3_100C_0001_0004,0.2,0.02,5.309984463895427,0.0928786830174008,1.7491328580887158,0.7599374956661276,0.0106858277057131,1.4061456062707336,0.0296012136817207,0.0003120604549823,1.0542150681309528,1.0013634619353156,2.308897314766146e-05,0.0023057535076262,1.4755585544999696,3.0,100.0,4.885e-06,197.173735,196.114965,9.7,0.19,,heating,,
GeO2_3_100C_0001_0004,0.21,0.01,5.3297768289147855,0.1341293995289177,2.516604425184314,0.7482862298416744,0.0136240459145431,1.820699803259212,0.0294143209044563,0.0004241050406067,1.4418318273752233,1.0012444189613634,1.2015119566267415e-05,0.0012000186306887,1.3053111687467671,3.0,100.0,4.885e-06,197.173735,196.114965,9.7,0.19,,heating,,
GeO2_3_170C_0001_0004,0.2,0.02,4.626518877630432,0.0701807718754161,1.5169239277234012,0.7338986204372037,0.0084390016299171,1.1498865640174878,0.0293301387472806,0.0002608025263103,0.8891963606359776,1.0013549620448947,1.7693654664768967e-05,0.0017669712874479,0.9693888786899691,3.0,170.0,4.903e-06,198.995318,197.917245,9.7,0.19,,heating,,
GeO2_3_170C_0001_0004,0.21,0.01,4.468482402230018,0.1187022973438682,2.656434257962598,0.7106992513856771,0.0125460577482985,1.7653118001513275,0.0297136977767652,0.0004359081821723,1.4670277171398218,1.001240407910695,8.127739086753404e-06,0.0008117669864836,1.3441139542308376,3.0,170.0,4.903e-06,198.995318,197.917245,9.7,0.19,,heating,,
GeO2_3_240C_0001_0004,0.2,0.02,4.063623771761541,0.0781750557462969,1.9237769079298603,0.7457556282387352,0.0109657793821736,1.47042529307781,0.0282209596132366,0.0003192046756603,1.1310907922161093,1.00137238867316,1.9609947808454224e-05,0.0019583072221951,1.2501902956691775,3.0,240.0,4.757e-06,193.439023,200.093556,9.7,0.19,,heating,,
GeO2_3_240C_0001_0004,0.21,0.01,3.960442994259983,0.1242919754941187,3.138335172965744,0.7223100069967776,0.0154512707973546,2.139146716462925,0.0284259173874403,0.0004971638251686,1.748980757216873,1.0012451805577192,8.34969088825666e-06,0.0008339306945383,1.486233472272937,3.0,240.0,4.757e-06,193.439023,200.093556,9.7,0.19,,heating,,
GeO2_3_30C_0001_0004,0.2,0.02,5.69082396345189,0.0741666230293362,1.303266864440996,0.7439960644414664,0.0076173808066615,1.023846922144685,0.0312956142916279,0.0002436935933348,0.7786828884840792,1.001270019250471,1.85675011646448e-05,0.0018543949991176,0.8397839517807698,3.0,30.0,4.845e-06,195.300849,194.266996,9.7,0.19,,heating,,
GeO2_3_30C_0001_0004,0.21,0.01,5.726657974281396,0.1187693661706243,2.073973453697101,0.7508969376016211,0.0112931972258236,1.5039610178587617,0.0307725028022244,0.0003667142827879,1.1916946929692196,1.0012613108197066,1.0955698882391655e-05,0.0010941897748373,0.946013544459068,3.0,30.0,4.845e-06,195.300849,194.266996,9.7,0.19,,heating,,
GeO2_3_310C_0001_0004,0.2,0.02,3.5738610187869497,0.0718706803978685,2.011009382291623,0.7506017156009251,0.0114214502246759,1.5216392378655834,0.027439422755269,0.0003230832334409,1.1774418008808516,1.001330496001211,1.7919278007144993e-05,0.001789546815832,1.068192320894368,3.0,310.0,4.826e-06,195.480861,194.443101,9.7,0.19,,heating,,
GeO2_3_310C_0001_0004,0.21,0.01,3.4526862977480044,0.1034062802250656,2.9949515046447104,0.7222283264623266,0.0146769922154501,2.032181746088817,0.0276349118191936,0.0004613928998061,1.669601491131569,1.001243642261182,7.99420840704297e-06,0.0007984278820476,1.032969616291907,3.0,310.0,4.826e-06,195.480861,194.443101,9.7,0.19,,heating,,
