scan,t,tau,beta,c,y0,dtau,dbeta,dc,dy0,ID_sample,T,d,E,Q,cooling,fresh,test,att
GeO2_3_100C_0001_0004,256.7,5.43123773167206,0.7478104257411111,0.0300440526136536,1.0025129542049167,0.1806237012119901,0.0179208493676026,0.0005720815869182,1.5009267962084225e-05,3,100,100,9.7,0.19,,,,
GeO2_3_170C_0001_0004,77.0,4.609501311880222,0.7065552691490816,0.0300926591008535,1.0025009231457074,0.2250254755211135,0.0237687902194649,0.0008239168446927,3.9477436682799447e-05,3,170,100,9.7,0.19,,,,
GeO2_3_240C_0001_0004,77.0,4.258896830020758,0.7454826959943621,0.0283001058323693,1.0025696592204556,0.2413182810811498,0.031139785987597,0.0009284059483925,4.2710634583689066e-05,3,240,100,9.7,0.19,,,,
GeO2_3_30C_0001_0004,146.7,5.974308821799779,0.8092889148548459,0.0308449652566085,1.0025037743308658,0.202563977776055,0.0224435943311374,0.0006365107467555,2.4953662313915503e-05,3,30,100,9.7,0.19,,,,
GeO2_3_310C_0001_0004,77.0,3.619660625929933,0.7395481140767272,0.0278109970982492,1.002560027609996,0.1745769069948886,0.0257927432519142,0.000769957915089,3.17841649726872e-05,3,310,100,9.7,0.19,,,,
GeO2_3_380C_0001_0004,159.5,2.9959848476760125,0.7074877226904438,0.0268500625188136,1.002533045508517,0.1840102341277073,0.028744781259016,0.0009095835042782,2.1501534849590936e-05,3,380,100,9.7,0.19,,,,
GeO2_3_415C_0001_0004,159.5,2.908953352760636,0.6673517850266306,0.027008739457604,1.002602251728414,0.1973344628813487,0.0274384247886058,0.0009714706448069,2.1864503886801454e-05,3,415,100,9.7,0.19,,,,
GeO2_3_450C_0001_0004,159.5,3.744163368558868,0.6108245367439092,0.0267687941226869,1.00259032452794,0.1905952815381815,0.0166788418053304,0.0006825458693149,1.717360584383562e-05,3,450,100,9.7,0.19,,,,
GeO2_3_485C_0001_0004,159.5,4.688976106851125,0.6073217822628958,0.026193785881727,1.00260675274795,0.2644251676995958,0.0184062459422093,0.0007392691309207,2.1429765916225185e-05,3,485,100,9.7,0.19,,,,
GeO2_3_520C_0001_0004,302.5,4.438074700857541,0.614161264911055,0.0258409149560102,1.0025719618808753,0.3724397824871786,0.027430254859874,0.0010881745203525,2.047764521909123e-05,3,520,100,9.7,0.19,,,,
GeO2_3_555C_0001_0004,165.0,3.653861687468184,0.6424173396024987,0.0254412806001841,1.0027030860750137,0.3680451796099239,0.0370875620263559,0.0013303631846157,3.211766976915047e-05,3,555,100,9.7,0.19,,,,
GeO2_3_590C_0001_0004,79.8,1.9898961875124752,0.6439941879616325,0.0255645802442554,1.0026731182436175,0.1386431343022746,0.0259655494773027,0.0009256873601369,2.43431231430198e-05,3,590,100,9.7,0.19,,,,
GeO2_3_625C_0001_0004,49.5,1.2199590076826736,0.7155804216020656,0.0237924776297619,1.0027932240300963,0.1258532888691753,0.0498707134843589,0.001367600842351,3.7720738207583486e-05,3,625,100,9.7,0.19,,,,
GeO2_3_660C_0001_4-5,0.0,0.718547534937215,0.6754168170064132,0.0239579330885693,1.0026269856053898,0.0771265565686609,0.0443082720173821,0.0013736958694284,2.314968029691736e-05,3,660,100,9.7,0.19,,,,
GeO2_3_695C_0001_4-4,0.0,0.442041923610793,0.71210042403651,0.0227469521016655,1.0025479984783192,0.0749060602197028,0.0793880846487491,0.0021368192746453,2.840085226520076e-05,3,695,100,9.7,0.19,,,,
GeO2_3_730C_0001_4-5,0.0,0.2804408423944792,0.7004266058176478,0.0230606484240121,1.002928459909158,0.0469015005205633,0.0760402733040253,0.0021098261504579,4.247794968888032e-05,3,730,100,9.7,0.19,,,,
GeO2_3_730C_Q_0001_0004,9.4,0.3216554172026925,0.6891727572614254,0.0230339300257212,1.002671829658822,0.0701752235966267,0.0971150219097502,0.0027398033991368,9.057884837924134e-05,3,730,100,9.7,0.13,,,,
GeO2_3_730C_Q_0001_0005,9.4,0.2173189579761916,0.7046293587296015,0.0212482604049264,1.0025172242425269,0.0687163510388235,0.1468945632325275,0.0037041892823897,9.77972794032208e-05,3,730,100,9.7,0.29,,,,
GeO2_3_730C_Q_0001_0006,6.1,0.2507240127260096,1.0960998908068509,0.003965244322021,1.0062535858690247,0.1186158726447011,0.6586157978490594,0.0013934570629277,6.684160416315285e-05,3,730,100,9.7,0.38,,,,
GeO2_3_730C_Q_0001_0007,6.1,0.2440269017986397,0.8592080229035906,0.0043290805291683,1.0035978602484277,0.1369221570896865,0.4201932215259791,0.0015694623652159,5.616554531898223e-05,3,730,100,9.7,0.46,,,,
GeO2_3_730C_att2_0001_4-5,0.0,0.6416927930692835,0.6941442819280007,0.0227918556792415,1.0027120374821932,0.1542497368280589,0.1088097899069397,0.0029959361598292,9.651319332164134e-05,3,730,100,9.7,0.19,,,,0.5
GeO2_6_0001_0007,100.2,5.094739387254782,0.7209208654082002,0.0343332692766835,1.002237571294845,0.4521794822297857,0.0437015057926288,0.0017544985152458,6.657091047995852e-05,6,30,100,9.7,0.19,,,True,
GeO2_6_0001_0008,600.2,5.094855053313452,0.7163762319804436,0.0343046988913786,1.002177008345727,0.1975436961416837,0.0181341703337344,0.0007505115293102,1.0341106974167766e-05,6,30,100,9.7,0.19,,,True,
GeO2_6_0001_0009,603.0,5.092607023896649,0.7245994363779183,0.0335792005488824,1.0021958137445013,0.215329229799597,0.0208469525747438,0.0007934409305685,1.2426432004338395e-05,6,30,100,9.7,0.19,,,,
GeO2_6_0001_0011,110.6,5.446933554840622,0.897872669513047,0.0303675951695897,1.0022071596504416,0.3791983980298173,0.0597760039877948,0.0013804676532709,6.446560239418023e-05,6,30,100,9.7,0.19,,True,True,
GeO2_6_0001_0012,1005.0,5.246668749835165,0.7222206887082472,0.0311361866119607,1.002207788365468,0.1744154564149519,0.0162213585017834,0.0005765552573578,7.033827650301454e-06,6,30,100,9.7,0.19,,,,
GeO2_6_100C_0001_0003,603.0,4.931885168833948,0.7104385279816564,0.0292032843645307,1.0022310263290115,0.2541638454218515,0.0241701812106302,0.0008297812210807,1.2607898574233684e-05,6,100,100,9.7,0.19,,,,
GeO2_6_170C_0001_0001,603.0,4.392611463992126,0.7202994790843642,0.0280486284852838,1.002240306019974,0.2226840730462061,0.0245924067828208,0.0007913884195728,1.140570365510051e-05,6,170,100,9.7,0.19,,,,
GeO2_6_240C_0001_0003,603.0,3.766676964290514,0.6997171704538432,0.0280336326313197,1.0022466829661616,0.245863696025075,0.0293944472946364,0.0009985607531712,1.2996886378953577e-05,6,240,100,9.7,0.19,,,,
GeO2_6_310C_0001_0003,603.0,3.122441626514727,0.7082823178880875,0.0267987422832521,1.0022571792798514,0.2036355076770392,0.0302379019243059,0.0009619352702036,1.14138108233828e-05,6,310,100,9.7,0.19,,,,
GeO2_6_380C_0001_0001,603.0,2.207738700585934,0.6905397206782725,0.025426509062126,1.0022422536111903,0.2081911202860797,0.040882905945925,0.0012982224273445,1.2548431550014486e-05,6,380,100,9.7,0.19,,,,
GeO2_6_450C_0001_0003,562.8,1.5450782073610303,0.5815273860129203,0.0276154614773386,1.0023045545478733,0.2057108494206179,0.0372270069477997,0.0017753608435051,1.3031012087763032e-05,6,450,100,9.7,0.19,,,,
GeO2_6_520C_0001_0001,603.0,1.202115373377333,0.5342413644764998,0.0283591966166388,1.002259368972534,0.2124101602906493,0.0397352073185363,0.0022907041471396,1.3399740268802276e-05,6,520,100,9.7,0.19,,,,
GeO2_6_590C_0001_0003,562.8,0.522466526346443,0.5372766521009659,0.0275319445955392,1.0022642518827547,0.1696732066994017,0.0729358225582302,0.0041416320369566,1.5289492732450397e-05,6,590,100,9.7,0.19,,,,
GeO2_6_590C_0002_0003,205.6,0.5417975642864763,0.64526277067272,0.0254645865964904,1.002393916493567,0.2757798676246071,0.1864331544821688,0.006681398039508,5.329643880016574e-05,6,590,100,9.7,0.19,,,,
GeO2_6_660C_0001_0001,562.8,0.2796723529311841,0.6580299251442907,0.0249793998256882,1.0022864990054108,0.1348365207668909,0.1771419889011353,0.0064901856897213,1.8027122889331288e-05,6,660,100,9.7,0.19,,,,
GeO2_6_660C_0002_0003,205.6,0.1163090476342567,0.4038821396566963,0.0338853642986646,1.0023109638289842,0.1427295057642583,0.1362795991535814,0.0158931777625559,4.369022595350845e-05,6,660,100,9.7,0.19,,,,
GeO2_6_730C_0001_0003,209.8,0.0587425102144339,0.5522597553498291,0.0275209607501916,1.0022157549268045,0.0855221166381876,0.3507059672693026,0.018875053357605,3.907609051106792e-05,6,730,100,9.7,0.19,,,,
GeO2_6q_delcoup_1.75_0001_0001,56.2,5.5268811121291535,0.8482221619789545,0.0332125606508891,1.0023048246366095,0.6225990047152501,0.0872153308580347,0.0023920388866321,0.0001705836070977,6,30,100,9.7,0.19,,True,,
GeO2_6q_delcoup_1_0001_0002,1153.43305,6.074188007611928,0.698402015976342,0.0323269402659518,1.002548936172535,0.1993997939230074,0.0195418014573094,0.0002729865886616,0.000191132642565,6,30,100,9.7,0.13,,,,
GeO2_6q_delcoup_3_0001_0002,1730.14985,5.835184729832522,0.8069237939834926,0.0272163492607423,1.0026372394166243,0.3647965393808761,0.0489529713577628,0.0004551149819653,0.0003268456362169,6,30,100,9.7,0.29,,,,
GeO2_6q_delcoup_5_0001_0002,1730.14985,5.579873537922603,0.7448319726138369,0.006585639021591,1.0032348999104033,0.6553471759974839,0.0793006452868084,0.0002023424099485,0.0001422113411367,6,30,100,9.7,0.46,,,,
GeO2_7_100C_0001_0003,865.07465,6.318600313695788,0.7234726962366427,0.0263690322654849,1.0025857708798347,0.7074051333093193,0.0688273011751068,0.0007968332003355,0.0005929183634288,7,100,100,9.7,0.19,,,,
GeO2_7_170C_0001_0003,865.07465,6.273918439153889,0.829435335500277,0.0249862329337673,1.0027531923337134,0.8796327963291548,0.1122624888639595,0.0009848379440844,0.0007482523686316,7,170,100,9.7,0.19,,,,
GeO2_7_240C_0001_0003,865.07465,5.177386481108264,0.6510929238682194,0.0269560063218999,1.0024376734016838,0.394978041787642,0.0391719125365934,0.0005411313652672,0.0003834099260323,7,240,100,9.7,0.19,,,,
GeO2_7_300C_0001_0004,288.35785000000004,4.006465274685599,0.5416229859381312,0.029213062225417,1.002561859572613,1.1220495168310771,0.1058808580262515,0.0021164751238171,0.0013611908890994,7,300,100,9.7,0.19,True,,,
GeO2_7_30C_0003_0003,865.07465,6.803853485125353,0.7781783772102338,0.0279393214643479,1.0025667862849912,0.3757602437252387,0.0388243601944807,0.0004259308512911,0.0003235977748905,7,30,100,9.7,0.19,,True,,
